person,personLabel,article
http://www.wikidata.org/entity/Q931648,केशव दत्त,https://hi.wikipedia.org/wiki/%E0%A4%95%E0%A5%87%E0%A4%B6%E0%A4%B5_%E0%A4%A6%E0%A4%A4%E0%A5%8D%E0%A4%A4
http://www.wikidata.org/entity/Q9475,हरभजन सिंह,https://hi.wikipedia.org/wiki/%E0%A4%B9%E0%A4%B0%E0%A4%AD%E0%A4%9C%E0%A4%A8_%E0%A4%B8%E0%A4%BF%E0%A4%82%E0%A4%B9
http://www.wikidata.org/entity/Q9488,सचिन तेंदुलकर,https://hi.wikipedia.org/wiki/%E0%A4%B8%E0%A4%9A%E0%A4%BF%E0%A4%A8_%E0%A4%A4%E0%A5%87%E0%A4%82%E0%A4%A6%E0%A5%81%E0%A4%B2%E0%A4%95%E0%A4%B0
http://www.wikidata.org/entity/Q1813284,कुंवर दिग्विजय सिंह,https://hi.wikipedia.org/wiki/%E0%A4%95%E0%A5%81%E0%A4%82%E0%A4%B5%E0%A4%B0_%E0%A4%A6%E0%A4%BF%E0%A4%97%E0%A5%8D%E0%A4%B5%E0%A4%BF%E0%A4%9C%E0%A4%AF_%E0%A4%B8%E0%A4%BF%E0%A4%82%E0%A4%B9
http://www.wikidata.org/entity/Q1824834,योगेश्वर दत्त,https://hi.wikipedia.org/wiki/%E0%A4%AF%E0%A5%8B%E0%A4%97%E0%A5%87%E0%A4%B6%E0%A5%8D%E0%A4%B5%E0%A4%B0_%E0%A4%A6%E0%A4%A4%E0%A5%8D%E0%A4%A4
http://www.wikidata.org/entity/Q1827521,बोम्बायला देवी लैशराम,https://hi.wikipedia.org/wiki/%E0%A4%AC%E0%A5%8B%E0%A4%AE%E0%A5%8D%E0%A4%AC%E0%A4%BE%E0%A4%AF%E0%A4%B2%E0%A4%BE_%E0%A4%A6%E0%A5%87%E0%A4%B5%E0%A5%80
http://www.wikidata.org/entity/Q3520013,अजीत आगरकर,https://hi.wikipedia.org/wiki/%E0%A4%85%E0%A4%9C%E0%A5%80%E0%A4%A4_%E0%A4%86%E0%A4%97%E0%A4%B0%E0%A4%95%E0%A4%B0
http://www.wikidata.org/entity/Q3520045,रोहित शर्मा,https://hi.wikipedia.org/wiki/%E0%A4%B0%E0%A5%8B%E0%A4%B9%E0%A4%BF%E0%A4%A4_%E0%A4%B6%E0%A4%B0%E0%A5%8D%E0%A4%AE%E0%A4%BE
http://www.wikidata.org/entity/Q3520064,वीनू हिम्मतलाल मन्कद,https://hi.wikipedia.org/wiki/%E0%A4%B5%E0%A5%80%E0%A4%A8%E0%A5%82_%E0%A4%B9%E0%A4%BF%E0%A4%AE%E0%A5%8D%E0%A4%AE%E0%A4%A4%E0%A4%B2%E0%A4%BE%E0%A4%B2_%E0%A4%AE%E0%A4%BE%E0%A4%81%E0%A4%95%E0%A4%A1%E0%A4%BC
http://www.wikidata.org/entity/Q3520276,शान्ताकुमारन श्रीसंत,https://hi.wikipedia.org/wiki/%E0%A4%B6%E0%A4%BE%E0%A4%A8%E0%A5%8D%E0%A4%A4%E0%A4%BE%E0%A4%95%E0%A5%81%E0%A4%AE%E0%A4%BE%E0%A4%B0%E0%A4%A8_%E0%A4%B6%E0%A5%8D%E0%A4%B0%E0%A5%80%E0%A4%B8%E0%A4%82%E0%A4%A4
